fecha,MWh,temperatura,dia_semana
29/12/01,100565,16.3,6
30/12/01,91006,16.1,7
31/12/01,92678,16.2,1
01/01/02,80498,16.8,2
02/01/02,100412,16.4,3
03/01/02,108023,16.5,4
04/01/02,109878,16.4,5
05/01/02,105318,16.5,6
06/01/02,92809,16.1,7
07/01/02,106221,16.1,1
08/01/02,110862,16.1,2
09/01/02,111774,16.3,3
10/01/02,112028,16.8,4
11/01/02,112541,16.3,5
12/01/02,103919,16.1,6
13/01/02,89634,16.1,7
14/01/02,100041,16.5,1
15/01/02,104956,16.4,2
16/01/02,105646,16.5,3
17/01/02,106528,16.1,4
18/01/02,108526,16.1,5
19/01/02,106351,16.1,6
20/01/02,95987,16.3,7
21/01/02,109067,16.1,1
22/01/02,109908,16.1,2
23/01/02,110830,16.6,3
24/01/02,113155,16.5,4
25/01/02,115350,16.1,5
26/01/02,107005,16,6
27/01/02,92865,15.6,7
28/01/02,108803,15.6,1
29/01/02,114337,15.8,2
30/01/02,115817,16.3,3
31/01/02,117874,15.9,4
01/02/02,115191,16.6,5
02/02/02,109036,16.9,6
03/02/02,97076,17.5,7
04/02/02,109312,17,1
05/02/02,108766,17.1,2
06/02/02,118854,16.4,3
07/02/02,119814,17.3,4
08/02/02,120476,17,5
09/02/02,115698,17.4,6
10/02/02,100562,17.4,7
11/02/02,112841,17.6,1
12/02/02,114305,17,2
13/02/02,112659,18,3
14/02/02,112701,18.1,4
15/02/02,111611,17.9,5
16/02/02,108388,17.7,6
17/02/02,96052,18.4,7
18/02/02,111084,19,1
19/02/02,116492,19.2,2
20/02/02,118054,19.9,3
21/02/02,118134,20.4,4
22/02/02,116565,20.9,5
23/02/02,112089,21.4,6
24/02/02,97558,21.7,7
25/02/02,113739,22.1,1
26/02/02,119687,22.4,2
27/02/02,120331,22.9,3
28/02/02,119267,23.1,4
01/03/02,121999,23.1,5
02/03/02,117062,23.1,6
03/03/02,101664,23.1,7
04/03/02,115162,23.1,1
05/03/02,120034,23.1,2
