Conmemoracion,Fecha
año nuevo,01/01/97
aniversario de la Constitución de 1917,05/02/97
natalicio de Benito Juárez Garcia,21/03/97
jueves santo,27/03/97
viernes santo,28/03/97
día del trabajo,01/05/97
día de la madre,10/05/97
día de la Independencia,16/09/97
día de la Virgen de Zapopan,12/10/97
día de los muertos,02/11/97
día de la Revolución,20/11/97
día de la Virgen de Guadalupe,12/12/97
Navidad,25/12/97
año nuevo,01/01/98
aniversario de la Constitución de 1917,05/02/98
natalicio de Benito Juárez Garcia,21/03/98
jueves santo,09/04/98
viernes santo,10/04/98
día del trabajo,01/05/98
día de la madre,10/05/98
día de la Independencia,16/09/98
día de la Virgen de Zapopan,12/10/98
día de los muertos,02/11/98
día de la Revolución,20/11/98
día de la Virgen de Guadalupe,12/12/98
Navidad,25/12/98
año nuevo,01/01/99
aniversario de la Constitución de 1917,05/02/99
natalicio de Benito Juárez Garcia,21/03/99
jueves santo,01/04/99
viernes santo,02/04/99
día del trabajo,01/05/99
día de la madre,10/05/99
día de la Independencia,16/09/99
día de la Virgen de Zapopan,12/10/99
día de los muertos,02/11/99
día de la Revolución,20/11/99
día de la Virgen de Guadalupe,12/12/99
Navidad,25/12/99
año nuevo,01/01/00
aniversario de la Constitución de 1917,05/02/00
natalicio de Benito Juárez Garcia,21/03/00
jueves santo,20/04/00
viernes santo,21/04/00
día del trabajo,01/05/00
día de la madre,10/05/00
elecciones presidenciales,02/07/00
día de la Independencia,16/09/00
día de la Virgen de Zapopan,12/10/00
día de los muertos,02/11/00
día de la Revolución,20/11/00
cambio de poder,01/12/00
día de la Virgen de Guadalupe,12/12/00
Navidad,25/12/00
año nuevo,01/01/01
aniversario de la Constitución de 1917,05/02/01
natalicio de Benito Juárez Garcia,21/03/01
jueves santo,12/04/01
viernes santo,13/04/01
día del trabajo,01/05/01
día de la madre,10/05/01
día de la Independencia,16/09/01
día de la Virgen de Zapopan,12/10/01
día de los muertos,02/11/01
día de la Revolución,20/11/01
día de la Virgen de Guadalupe,12/12/01
Navidad,25/12/01
año nuevo,01/01/02
aniversario de la Constitución de 1917,05/02/02
natalicio de Benito Juárez Garcia,21/03/02
jueves santo,28/03/02
viernes santo,29/03/02
día del trabajo,01/05/02
día de la madre,10/05/02
día de la Independencia,16/09/02
día de la Virgen de Zapopan,12/10/02
día de los muertos,02/11/02
día de la Revolución,20/11/02
día de la Virgen de Guadalupe,12/12/02
Navidad,25/12/02
año nuevo,01/01/03
aniversario de la Constitución de 1917,05/02/03
natalicio de Benito Juárez Garcia,21/03/03
jueves santo,17/04/03
viernes santo,18/04/03
día del trabajo,01/05/03
día de la madre,10/05/03
día de la Independencia,16/09/03
día de la Virgen de Zapopan,12/10/03
día de los muertos,02/11/03
día de la Revolución,20/11/03
día de la Virgen de Guadalupe,12/12/03
Navidad,25/12/03
año nuevo,01/01/04
aniversario de la Constitución de 1917,05/02/04
natalicio de Benito Juárez Garcia,21/03/04
jueves santo,08/04/04
viernes santo,09/04/04
día del trabajo,01/05/04
día de la madre,10/05/04
día de la Independencia,16/09/04
día de la Virgen de Zapopan,12/10/04
día de los muertos,02/11/04
día de la Revolución,20/11/04
día de la Virgen de Guadalupe,12/12/04
Navidad,25/12/04
año nuevo,01/01/05
aniversario de la Constitución de 1917,05/02/05
